TileID,worldX,worldY,gridX,gridY,hasEnemy,enemyID,tileType,walkable
1,384,1344,6,21,false,0,Wall,false
2,448,768,7,12,false,0,Wall,false
3,576,576,9,9,false,0,Wall,false
4,576,640,9,10,false,0,Wall,false
5,576,704,9,11,false,0,Wall,false
6,576,768,9,12,false,0,Wall,false
7,576,832,9,13,false,0,Wall,false
8,576,896,9,14,false,0,Wall,false
9,576,960,9,15,false,0,Wall,false
10,576,1024,9,16,false,0,Wall,false
11,576,1088,9,17,false,0,Wall,false
12,576,1152,9,18,false,0,Wall,false
13,576,1216,9,19,false,0,Wall,false
14,576,1280,9,20,false,0,Wall,false
15,576,1344,9,21,false,0,Wall,false
16,576,1408,9,22,false,0,Wall,false
17,576,1472,9,23,false,0,Wall,false
18,576,1536,9,24,false,0,Wall,false
19,576,1600,9,25,false,0,Wall,false
20,576,1664,9,26,false,0,Wall,false
21,576,1728,9,27,false,0,Wall,false
22,576,1792,9,28,false,0,Wall,false
23,576,1856,9,29,false,0,Wall,false
24,576,1920,9,30,false,0,Wall,false
25,576,1984,9,31,false,0,Wall,false
26,576,2048,9,32,false,0,Wall,false
27,640,384,10,6,false,0,Wall,false
28,640,576,10,9,false,0,Wall,false
29,640,640,10,10,false,0,Wall,false
30,640,704,10,11,false,0,Wall,false
31,640,768,10,12,false,0,Wall,false
32,640,832,10,13,false,0,Wall,false
33,640,896,10,14,false,0,Wall,false
34,640,960,10,15,false,0,Wall,false
35,640,1024,10,16,false,0,Wall,false
36,640,1088,10,17,false,0,Wall,false
37,640,1152,10,18,false,0,Wall,false
38,640,1216,10,19,false,0,Wall,false
39,640,1280,10,20,false,0,Wall,false
40,640,1344,10,21,false,0,Wall,false
41,640,1408,10,22,false,0,Wall,false
42,640,1472,10,23,false,0,Wall,false
43,640,1536,10,24,false,0,Wall,false
44,640,1600,10,25,false,0,Wall,false
45,640,1664,10,26,false,0,Wall,false
46,640,1728,10,27,false,0,Wall,false
47,640,1792,10,28,false,0,Wall,false
48,640,1856,10,29,false,0,Wall,false
49,640,1920,10,30,false,0,Wall,false
50,640,1984,10,31,false,0,Wall,false
51,640,2048,10,32,false,0,Wall,false
52,640,2496,10,39,false,0,Wall,false
53,704,576,11,9,false,0,Wall,false
54,704,640,11,10,false,0,Wall,false
55,704,704,11,11,false,0,Wall,false
56,704,768,11,12,false,0,Wall,false
57,704,832,11,13,false,0,Wall,false
58,704,896,11,14,false,0,Wall,false
59,704,960,11,15,false,0,Wall,false
60,704,1024,11,16,false,0,Wall,false
61,704,1088,11,17,false,0,Wall,false
62,704,1152,11,18,false,0,Wall,false
63,704,1216,11,19,false,0,Wall,false
64,704,1280,11,20,false,0,Wall,false
65,704,1344,11,21,false,0,Wall,false
66,704,1408,11,22,false,0,Wall,false
67,704,1472,11,23,false,0,Wall,false
68,704,1536,11,24,false,0,Wall,false
69,704,1600,11,25,false,0,Wall,false
70,704,1664,11,26,false,0,Wall,false
71,704,1728,11,27,false,0,Wall,false
72,704,1792,11,28,false,0,Wall,false
73,704,1856,11,29,false,0,Wall,false
74,704,1920,11,30,false,0,Wall,false
75,704,1984,11,31,false,0,Wall,false
76,704,2048,11,32,false,0,Wall,false
77,768,576,12,9,false,0,Wall,false
78,768,640,12,10,false,0,Wall,false
79,768,704,12,11,false,0,Wall,false
80,768,768,12,12,false,0,Wall,false
81,768,832,12,13,false,0,Wall,false
82,768,896,12,14,false,0,Wall,false
83,768,960,12,15,false,0,Wall,false
84,768,1024,12,16,false,0,Wall,false
85,768,1088,12,17,false,0,Wall,false
86,768,1152,12,18,false,0,Wall,false
87,768,1216,12,19,false,0,Wall,false
88,768,1280,12,20,false,0,Wall,false
89,768,1344,12,21,false,0,Wall,false
90,768,1408,12,22,false,0,Wall,false
91,768,1472,12,23,false,0,Wall,false
92,768,1536,12,24,false,0,Wall,false
93,768,1600,12,25,false,0,Wall,false
94,768,1664,12,26,false,0,Wall,false
95,768,1728,12,27,false,0,Wall,false
96,768,1792,12,28,false,0,Wall,false
97,768,1856,12,29,false,0,Wall,false
98,768,1920,12,30,false,0,Wall,false
99,768,1984,12,31,false,0,Wall,false
100,768,2048,12,32,false,0,Wall,false
101,832,576,13,9,false,0,Wall,false
102,832,640,13,10,false,0,Wall,false
103,832,704,13,11,false,0,Wall,false
